
country,area,two_thousand_area,two_thousand_percent,two_thousand_ten_area,two_thousand_ten_percent,delta_area,delta_percent
Norfolk Island,4063,0,0,0,0,0,0
North Korea,12275519,5196390,42.33132627630653,4996431,40.702401258961025,199959,1.6289250173454988
Northern Cyprus,331407,12307,3.713560667095143,13071,3.9440929129439026,-764,-0.23053224584875998
Norway,32512221,11739522,36.10802842414242,13054563,40.152787470286945,-1315041,-4.0447590461445255
Oman,30933274,0,0,0,0,0,0
Pakistan,87417631,978656,1.1195178693414833,648196,0.7414934408368948,330460,0.3780244285045885
Palau,48743,41263,84.65420675789345,40557,83.20579365242189,706,1.448413105471555
Palestina,621997,615,0.09887507496016862,854,0.13729969758696586,-239,-0.03842462262679724
Panama,7510420,5700500,75.90121457921128,5545904,73.84279441096503,154596,2.0584201682462497
Papua New Guinea,46363061,42921809,92.57759965417296,42921262,92.57641983561008,547,0.0011798185628856559
Paracel Islands,1969,0,0,0,0,0,0
Paraguay,39958668,24296868,60.80499980629985,20452833,51.18497193149682,3844035,9.620027874803034
Peru,129281869,78087223,60.40075348848801,78780800,60.9372378426862,-693577,-0.53648435419819
Philippines,29585658,18599417,62.86632867857798,18391765,62.16446157797132,207652,0.701867100606652
Poland,31239918,10439490,33.41714917433522,10635333,34.044049027273374,-195843,-0.6268998529381543
Portugal,8955506,2302481,25.710227875454496,2171273,24.245118031298286,131208,1.4651098441562096
Puerto Rico,897037,523696,58.380646506219925,540760,60.28290917765934,-17064,-1.9022626714394166
Qatar,1162494,0,0,0,0,0,0
Republic of Congo,34173223,26388373,77.2194445926274,26636720,77.94617440678627,-248347,-0.726729814158881
Reunion,251271,170475,67.84507563546927,170199,67.73523406998818,276,0.10984156548109411
Romania,23833794,7915161,33.20982383249599,7652863,32.109294055323296,262298,1.1005297771726985
Russia,1689441229,761222641,45.05765740371901,754768088,44.67560487124823,6454553,0.3820525324707818
Rwanda,2527770,497886,19.696649616064754,517840,20.4860410559505,-19954,-0.7893914398857491
Saint Kitts and Nevis,26718,13260,49.62946328317988,13750,51.46343289168351,-490,-1.8339696085036306
Saint Lucia,61448,50731,82.5592370785054,49889,81.1889727900013,842,1.370264288504101
Saint Pierre and Miquelon,22663,5454,24.06565767991881,10178,44.910206062745445,-4724,-20.844548382826634
Saint Vincent and the Grenadines,39789,29111,73.16343713086532,29655,74.53064917439494,-544,-1.3672120435296187
Saint-Barthélemy,2469,622,25.192385581206967,560,22.681247468610774,62,2.5111381125961927
Saint-Martin,5616,1850,32.94159544159544,1824,32.47863247863248,26,0.46296296296296297
San Marino,6122,830,13.55766089513231,984,16.073178699771315,-154,-2.515517804639007
Saudi Arabia,191598434,7,0.000003653474537271009,0,0,7,0.000003653474537271009
Senegal,19688983,39568,0.20096517935944178,47869,0.24312581304986652,-8301,-0.04216063369042474
Serbia,7823140,2730300,34.90030857174996,2524649,32.27155592255795,205651,2.6287526491920126
Seychelles,20268,6210,30.63943161634103,5606,27.659364515492403,604,2.9800671008486286
Sierra Leone,7260136,5617878,77.3797901306532,5426958,74.75008732618782,190920,2.6297028044653707
Singapore,69704,18784,26.948238264662,20634,29.60231837484219,-1850,-2.6540801101801903
Sint Maarten,3801,1022,26.887661141804788,852,22.415153906866614,170,4.472507234938174
Slovakia,4909916,2397197,48.8235847619389,2375637,48.38447337999265,21560,0.43911138194624916
Slovenia,1998091,1293521,64.73784227044715,1265618,63.34135932747808,27903,1.396482942969064
Solomon Islands,2853324,2741618,96.08505728757056,2727147,95.57789441367332,14471,0.5071628738972511
Somalia,63353850,87128,0.13752597513805395,146473,0.2311982618262347,-59345,-0.09367228668818076
South Africa,121971019,5983115,4.905357886696019,5282113,4.330629557173741,701002,0.5747283295222777
South Korea,10022830,5367962,53.55734857320737,5106669,50.950370304594614,261293,2.606978268612757
South Sudan,62809871,11386560,18.128615484658454,13259458,21.110468448502306,-1872898,-2.981852963843852
Spain,50604279,11018923,21.77468628690471,10435459,20.621692880951827,583464,1.152993405952884
Spratly Islands,188,0,0,0,0,0,0
Sri Lanka,6583727,3939924,59.8433683535177,3532233,53.650963960079146,407691,6.192404393438549
Sudan,187213492,72713,0.03883961525593465,72598,0.03877818805922385,115,0.00006142719671080116
Suriname,14642557,13949810,95.26894790301995,13997728,95.59619948892806,-47918,-0.327251585908117
Svalbard and Jan Mayen,5442472,0,0,0,0,0,0
Swaziland,1738333,469227,26.992929432968253,420923,24.2141753047316,48304,2.77875412823665
